id,setId,number,name,productCategoryTitle,type,color,energyType,cardLevel,hp,keyword,rarity,skillName,description,attackText,flipText,isBan,isLimit,isExtra,base_id,is_alt_art,all_rules_text,grade,imageUrl
BS1-001,BS1,001,Goblin Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED MIX,1,2,,C,,【Activate】 <Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.,<{R}{N}> Deals 1 damage.,,0,0,0,BS1-001,0,"【Activate】 <Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.
<{R}{N}> Deals 1 damage.",COMMON,https://cookierunbraverse.com/data/en_storage/RZ--kOPGmLmz-w-FB93gqw.webp
BS1-002,BS1,002,Kumiho Cookie,BOOSTER PACK [BRAVE BEGINNING],FLIP,RED,RED,3,3,,R,,,<{R}{R}{R}> Deals 3 damage.,<Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.,0,0,0,BS1-002,0,"<{R}{R}{R}> Deals 3 damage.
<Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.",RARE,https://cookierunbraverse.com/data/en_storage/UakiJRZQd2H4ehu_UUuVtw.webp
BS1-002@1,BS1,002@1,Kumiho Cookie,BOOSTER PACK [BRAVE BEGINNING],FLIP,RED,RED,3,3,,SEC,,,<{R}{R}{R}> Deals 3 damage.,<Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.,0,0,0,BS1-002,1,"<{R}{R}{R}> Deals 3 damage.
<Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.",SECRET RARE,https://cookierunbraverse.com/data/en_storage/GK_W7Hfl7pxXk79Yt5Ws1A.webp
BS1-002@2,BS1,002@2,Kumiho Cookie,PROMOTION CARD,FLIP,RED,RED,3,3,,P,,,<{R}{R}{R}> Alluring Smile deals 3,<Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.,0,0,0,BS1-002,1,"<{R}{R}{R}> Alluring Smile deals 3
<Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.",PROMOTION,https://cookierunbraverse.com/data/en_storage/lnFfLHR2gzmM6AuamClk0w.webp
BS1-003,BS1,003,Dark Choco Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED,2,4,,SR,,【Activate】 【Once Per Turn】 <{R}> <Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.,<{R}{R}{R}> Deals 3 damage.,,0,0,0,BS1-003,0,"【Activate】 【Once Per Turn】 <{R}> <Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.
<{R}{R}{R}> Deals 3 damage.",SUPER RARE,https://cookierunbraverse.com/data/en_storage/yTRnvCX6MzkQKvGdeKCHgg.webp
BS1-003@1,BS1,003@1,Dark Choco Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED,2,4,,SSR,,【Activate】 【Once Per Turn】 <{R}> <Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.,<{R}{R}{R}> Deals 3 damage.,,0,0,0,BS1-003,1,"【Activate】 【Once Per Turn】 <{R}> <Discard 1 card.> Select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.
<{R}{R}{R}> Deals 3 damage.",SECRET SUPER RARE,https://cookierunbraverse.com/data/en_storage/5BOszOJJGmUOTlQcomSxeA.webp
BS1-004,BS1,004,Lilac Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED,1,2,,U,,【Activate】 <{R}{R}> Return this Cookie to your hand.,<{R}> Deals 1 damage.,,0,0,0,BS1-004,0,"【Activate】 <{R}{R}> Return this Cookie to your hand.
<{R}> Deals 1 damage.",UNCOMMON,https://cookierunbraverse.com/data/en_storage/5XbO2BOxeMkarA-lp1xVrQ.webp
BS1-005,BS1,005,Roll Cake Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED,2,2,,C,,,"<{R}{R}> Deals 1 damage. Then, select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.",,0,0,0,BS1-005,0,"<{R}{R}> Deals 1 damage. Then, select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.",COMMON,https://cookierunbraverse.com/data/en_storage/6wiPjwWhSepHSZBNQZSK4g.webp
BS1-006,BS1,006,Mala Sauce Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED,2,2,,U,,"If this Cookie remains in the battle area after receiving damage, select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.",<{R}{R}> Deals 3 damage.,,0,0,0,BS1-006,0,"If this Cookie remains in the battle area after receiving damage, select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.
<{R}{R}> Deals 3 damage.",UNCOMMON,https://cookierunbraverse.com/data/en_storage/AFkbtUCDMc4YilGCBo_pqA.webp
BS1-006@1,BS1,006@1,Mala Sauce Cookie,promotion card,COOKIE,RED,RED,2,2,,P,Spicy Mala Sauce,"If this Cookie remains in the battle area after receiving damage, select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.",<{R}{R}> Spicy Spin deals 3,,0,0,0,BS1-006,1,"If this Cookie remains in the battle area after receiving damage, select up to 1 of your opponent's Cookies. That Cookie receives 1 damage.
<{R}{R}> Spicy Spin deals 3",PROMOTION,https://cookierunbraverse.com/data/en_storage/6wQAsI2GcVw4guXZQoc6Fw.webp
BS1-007,BS1,007,Melon Bun Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,,MIX,1,4,,C,,,<{N}{N}{N}> Deals 2 damage.,,0,0,0,BS1-007,0,<{N}{N}{N}> Deals 2 damage.,COMMON,https://cookierunbraverse.com/data/en_storage/K8Gm68TdR7vk7Cc2dcklFg.webp
BS1-008,BS1,008,Pomegranate Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED,2,5,,R,,"【Activate】 【Once Per Turn】 <{R}> Select up to 1 of your other Cookies. During this turn, that Cookie gains +1 attack damage.",<{R}{R}{R}> Deals 2 damage.,,0,0,0,BS1-008,0,"【Activate】 【Once Per Turn】 <{R}> Select up to 1 of your other Cookies. During this turn, that Cookie gains +1 attack damage.
<{R}{R}{R}> Deals 2 damage.",RARE,https://cookierunbraverse.com/data/en_storage/p3kdB7N7n4UhjnYgKr3A4g.webp
BS1-008@1,BS1,008@1,Pomegranate Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED,2,5,,SEC,,"【Activate】 【Once Per Turn】 <{R}> Select up to 1 of your other Cookies. During this turn, that Cookie gains +1 attack damage.",<{R}{R}{R}> Deals 2 damage.,,0,0,0,BS1-008,1,"【Activate】 【Once Per Turn】 <{R}> Select up to 1 of your other Cookies. During this turn, that Cookie gains +1 attack damage.
<{R}{R}{R}> Deals 2 damage.",SECRET RARE,https://cookierunbraverse.com/data/en_storage/Gobje06HNQSttClo0Jz4dw.webp
BS1-009,BS1,009,Affogato Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED MIX,1,3,,R,,"{bl} <{R}> (When one of your opponent's Cookies attacks, you can redirect the attack to this Cookie.)",<{R}{N}> Deals 1 damage.,,0,0,0,BS1-009,0,"{bl} <{R}> (When one of your opponent's Cookies attacks, you can redirect the attack to this Cookie.)
<{R}{N}> Deals 1 damage.",RARE,https://cookierunbraverse.com/data/en_storage/x3IxBhlWbrOzVpT4_3QH6w.webp
BS1-009@1,BS1,009@1,Affogato Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED MIX,1,3,,SEC,,"{bl} <{R}> (When one of your opponent's Cookies attacks, you can redirect the attack to this Cookie.)",<{R}{N}> Deals 1 damage.,,0,0,0,BS1-009,1,"{bl} <{R}> (When one of your opponent's Cookies attacks, you can redirect the attack to this Cookie.)
<{R}{N}> Deals 1 damage.",SECRET RARE,https://cookierunbraverse.com/data/en_storage/_hhW6r8bj86lm2V0EkhTKQ.webp
BS1-010,BS1,010,Devil Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,,MIX,2,2,,C,,,<{N}{N}> Deals 3 damage.,,0,0,0,BS1-010,0,<{N}{N}> Deals 3 damage.,COMMON,https://cookierunbraverse.com/data/en_storage/YexgB4T_XVHPFnx8TLOITQ.webp
BS1-011,BS1,011,Cherry Ball Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,,MIX,1,2,,C,,,<{N}{N}> Deals 2 damage.,,0,0,0,BS1-011,0,<{N}{N}> Deals 2 damage.,COMMON,https://cookierunbraverse.com/data/en_storage/buf0TQFThGr3CwM5S_2ylA.webp
BS1-012,BS1,012,Wildberry Cookie,BOOSTER PACK [BRAVE BEGINNING],COOKIE,RED,RED,3,6,,SR,,"If your break area is LV.9, this Cookie gains +2 attack damage.",<{R}{R}{R}{R}> Deals 4 damage.,,0,0,0,BS1-012,0,"If your break area is LV.9, this Cookie gains +2 attack damage.
<{R}{R}{R}{R}> Deals 4 damage.",SUPER RARE,https://cookierunbraverse.com/data/en_storage/HaWkaxv1TnJ3A-SMA5jN8w.webp
